Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0	100												
0.0245	80								Retention time to be analyzed 2.3769-3.161				
0.049	150												
0.0735	80												
0.098	80												
0.1225	110												
0.147	60												
0.1715	150												
0.196	60												
0.2205	130												
0.245	100												
0.2695	60												
0.2941	90												
0.3185	70												
0.3431	80												
0.3676	140												
0.3921	120												
0.4166	30												
0.4411	50												
0.4656	80									Average	STDEV	3*STDEV	LOD
0.4901	30									#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
0.5146	50												
0.5391	120												
0.5636	90												
0.5881	110												
0.6126	70												
0.6371	40												
0.6616	30												
0.6861	30												
0.7106	50												
0.7351	30												
0.7596	120												
0.7841	100												
0.8086	50												
0.8331	40												
0.8576	40												
0.8821	30												
0.9067	80												
0.9312	40												
0.9556	50												
0.9801	20												
1.0047	10												
1.0292	80												
1.0537	40												
1.0782	20												
1.1027	20												
1.1272	20												
1.1517	40												
1.1762	30												
1.2007	30												
1.2252	60												
1.2742	50												
1.2987	40												
1.3232	10												
1.3477	10												
1.3722	20												
1.3967	10												
1.4212	30												
1.4457	20												
1.4702	50												
1.4947	30												
1.5193	30												
1.5438	70												
1.5682	20												
1.5927	40												
1.6173	90												
1.6418	10												
1.6663	50												
1.6908	20												
1.7153	30												
1.7398	10												
1.7643	40												
1.7888	20												
1.8133	20												
1.8378	30												
1.8623	60												
1.9113	20												
1.9358	40												
1.9603	60												
1.9848	20												
2.0093	30												
2.0338	30												
2.0583	30												
2.0828	20												
2.1073	20												
2.1319	10												
2.1563	30												
2.1809	60												
2.2053	50												
2.2299	80												
2.2544	20												
2.3279	10												
2.3524	30												
2.3769	10	2.4504	140										
2.4014	10	2.4749	170										
2.4504	60	2.4994	260	2.4504	190	2.4504	180						
2.4749	40	2.5239	740	2.4749	300	2.4749	410						
2.4994	90	2.5484	1230	2.4994	370	2.4994	690						
2.5239	50	2.5729	1870	2.5239	950	2.5239	670						
2.5484	60	2.5974	2910	2.5484	1340	2.5484	1540						
2.5729	10	2.6219	3280	2.5729	1720	2.5729	1780						
2.5974	40	2.6464	2350	2.5974	2430	2.5974	2270						
2.6219	80	2.6709	1840	2.6219	2330	2.6219	2960						
2.6709	50	2.6954	1900	2.6464	2220	2.6464	2190						
2.7199	30	2.7199	2160	2.6709	1910	2.6709	1970						
2.7444	30	2.7444	1380	2.6954	2200	2.6954	1460						
2.7689	30	2.7689	1400	2.7199	1570	2.7199	1610						
2.7935	30	2.7935	1410	2.7444	1660	2.7444	1170						
2.818	10	2.818	1650	2.7689	1720	2.7689	1540						
2.8424	40	2.8424	4410	2.7935	1620	2.7935	1210						
2.867	40	2.867	2530	2.818	1900	2.818	2210						
2.8915	50	2.8915	870	2.8424	3490	2.8424	3110						
2.916	20	2.916	700	2.867	1310	2.867	1120						
2.9405	40	2.9405	470	2.8915	600	2.8915	520						
2.965	10	2.965	270	2.916	650	2.916	350						
2.9895	50	2.9895	200	2.9405	360	2.9405	290						
3.014	60	3.014	260	2.965	400	2.965	330						
3.0385	30	3.0385	210	2.9895	370	2.9895	210						
3.063	20	3.063	300	3.014	230	3.014	250						
3.0875	50	3.0875	150	3.0385	220	3.0385	150						
3.112	40			3.063	120	3.063	160						
3.1365	10			3.0875	50	3.0875	140						
3.161	30												
3.1855	50												
3.21	30												
3.2345	10												
3.259	30												
3.2835	20												
3.308	10												
3.3325	10												
3.357	30												
3.3816	40												
3.406	40												
3.4306	20												
3.455	60												
3.4795	20												
3.5041	30												
3.5286	40												
3.5531	70												
3.5776	30												
3.6021	50												
3.6266	30												
3.6511	100												
3.6756	20												
3.7001	20												
3.7246	20												
3.7491	60												
3.7736	10												
3.7981	10												
3.8226	80												
3.8471	30												
3.8716	20												
3.8961	60												
3.9206	20												
3.9451	40												
3.9696	70												
3.9941	10												
4.0187	30												
4.0431	30												
4.0676	50												
4.0922	30												
4.1167	40												
4.1412	30												
4.1657	40												
4.1902	40												
4.2147	30												
4.2392	20												
4.2637	30												
4.2882	100												
4.3127	70												
4.3372	30												
4.3617	30												
4.3862	60												
4.4107	60												
4.4352	70												
4.4597	30												
4.4842	50												
4.5087	30												
4.5332	70												
4.5577	70												
4.5822	60												
4.6067	40												
4.6312	40												
4.6557	100												
4.6803	90												
4.7048	60												
4.7293	10												
4.7538	90												
4.7783	20												
4.8028	80												
4.8273	40												
4.8518	30												
4.8763	50												
4.9008	40												
4.9253	10												
4.9498	20												
4.9743	80												
4.9988	10												
5.0233	20												
